prompt,multi_labels,label_0_broad_exploratory,label_1_price-constraints,label_2_feature-focused,label_3_brand/model_comparisons,label_4_meta_strategy_explanation,label_names
What is a realistic phone when it comes to cost to quality ratio,"[1, 2]",0,1,1,0,0,Price-constraints | Feature-focused
What phones are currently available on the market gives me good results for not too much money?,[1],0,1,0,0,0,Price-constraints
give me prices in euros,[0],1,0,0,0,0,Broad / exploratory
give the lowest price you can find for the apple Iphone 17 pro max and a link to buying it,[1],0,1,0,0,0,Price-constraints
"no, i mean tell me about (for the phones you mentionned above, and compare and contrast them for best overall): Brand and model, Storage capacity (optional), Color (optional), Lowest price you found, Link to the shopping website","[0, 1, 2, 3, 4]",1,1,1,1,1,Broad / exploratory | Price-constraints | Feature-focused | Brand/model comparisons | Meta / strategy / explanation
tell me about: Brand and model Storage capacity (optional) Color (optional) Lowest price you found Link to the shopping website,"[1, 2, 4]",0,1,1,0,1,Price-constraints | Feature-focused | Meta / strategy / explanation
"between these models: Xiaomi Poco X7 Pro, Xiaomi Redmi Note 14 Pro 5G, Motorola Moto G86 5G, Samsung Galaxy A15 5G and Xiaomi Redmi Note 13, which one has the best camera, which one can last longe and which one have the worst comment in forums","[2, 3, 4]",0,0,1,1,1,Feature-focused | Brand/model comparisons | Meta / strategy / explanation
give me a link to buy Xiaomi Poco X7 Pro,[0],1,0,0,0,0,Broad / exploratory
give me smartphone models with a price below 299 euros that can be purchased in Germany with the highest price-to-quality ratio,"[1, 2]",0,1,1,0,0,Price-constraints | Feature-focused
give me the technical details for Xiaomi Poco X7 Pro,[0],1,0,0,0,0,Broad / exploratory
Give me the link for the 399 offer,[0],1,0,0,0,0,Broad / exploratory
"I want the following smartphone, cheap, very good memory capacity, and good camera resulition","[1, 2]",0,1,1,0,0,Price-constraints | Feature-focused
"I want the google pixel 9a give me please the Color avavilables, the best price and a website where I can find it at is cheapest",[1],0,1,0,0,0,Price-constraints
"I want the google pixel 9a give me please the Color avavilables, the best price and a website where I can find it at is cheapest",[1],0,1,0,0,0,Price-constraints
Smartphones,[0],1,0,0,0,0,Broad / exploratory
I meant which of the phones you listed above you recommend?,[0],1,0,0,0,0,Broad / exploratory
"I need a phone around 700, I do not care if it is second-handed. But I want it clean, having a lot RAM, and a good CPU. What would be your recommendations with specific  characterictics and configs for this?",[2],0,0,1,0,0,Feature-focused
"Now, compare the cameras of these phone. which one takes better selfies?","[3, 4]",0,0,0,1,1,Brand/model comparisons | Meta / strategy / explanation
"all in all, which one do you recommend?",[4],0,0,0,0,1,Meta / strategy / explanation
"compare the batteries, which one do you recomend? I dont wnat to charge my phone regularly","[2, 3, 4]",0,0,1,1,1,Feature-focused | Brand/model comparisons | Meta / strategy / explanation
which ones do you recommend for gaming?,[2],0,0,1,0,0,Feature-focused
compare iphone 6 and 7,[3],0,0,0,1,0,Brand/model comparisons
What is the best smartphone ever?,[0],1,0,0,0,0,Broad / exploratory
"Search for smartphones that have an excellent price-to-quality ratio, with a very good, high-level camera, great efficiency, and a long-lasting battery. I want you to compare prices among the brands and models you find. Take into account the recommendations from people who have purchased or used them.","[1, 2, 3]",0,1,1,1,0,Price-constraints | Feature-focused | Brand/model comparisons
iPhone 17 ,[0],1,0,0,0,0,Broad / exploratory
"I also need 2 sim cards, a good camera, a good memory and i dont want the phone to be too bşg",[2],0,0,1,0,0,Feature-focused
"I also need 2 sim cards, a good camera, a good memory and i dont want the phone to be too bşg",[2],0,0,1,0,0,Feature-focused
I am in need of a new smartphone since my current phone is almost dying as it has no memory left. I am a person who likes quality but it does not have ,[2],0,0,1,0,0,Feature-focused
Thank you that was quite helpful,[0],1,0,0,0,0,Broad / exploratory
Find the store with lowest price for Iphone 17 Pro 256 Deep Blue in Germany,[1],0,1,0,0,0,Price-constraints
Find the store with lowest price for Iphone 17 Pro 256 Deep Blue in Germany,[1],0,1,0,0,0,Price-constraints
Give me the link for IPhone 17 Pro Deep Blue 256GB. I want to buy directly from Apple in Germany ,[0],1,0,0,0,0,Broad / exploratory
